"Id","AB_Thorn","AB_W_Thorn","Nar","Cal","cal_riosu_zr","Na_un_cusal","Na_un_cusba","srtm","slope","intDrain","extDrain","effDepth","trmm_0","trmm_1","trmm_2","trmm_3","tempAvg_0","tempRang_0","PrecAcc_0","tempAvg_1","tempRang_1","PrecAcc_1","tempAvg_2","tempRang_2","PrecAcc_2","tempAvg_3","tempRang_3","PrecAcc_3","Yield","Yield_2","Region"
28,0,1,0,0,0,0,1,2331,2,2,2,75,0.505885133,3.044595,1.852282097,3.383248567,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.00356,-1.06051261134458,"Caldas"
29,0,1,0,0,0,0,1,2331,2,2,2,75,1.571172597,4.988865433,4.342229967,2.916058067,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00378,1.45059828866072,"Caldas"
30,0,1,0,0,0,0,1,2331,2,2,2,75,1.973482197,4.968935433,4.172439767,2.637404067,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00378,0.726138894946021,"Caldas"
31,1,1,0,0,0,0,1,2349,32,2,3,70,5.2650614,2.840483367,1.2854127,1.617256367,15,7.4,342,15.2,8.1,245,153,81,200,155,84,180,0.00382,0.0916041304019804,"Caldas"
32,0,1,0,0,0,0,1,2331,2,2,2,75,2.813581467,1.3125403,1.636085967,2.9168064,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.004,0.0257611274056477,"Caldas"
33,0,1,0,0,0,0,1,2331,2,2,2,75,1.678501397,3.527466167,5.837297633,2.903907367,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00422,-0.134092466337397,"Caldas"
34,0,1,0,0,0,0,1,2331,2,2,2,75,5.083606533,3.991674767,2.857289267,1.4100636,15.1,7.5,279,15.3,7.4,338,154,81,246,157,82,202,0.00422,-0.0388594937579501,"Caldas"
35,1,1,0,0,0,0,1,2349,32,2,3,70,1.4239568,1.525121867,2.274113467,3.697183533,15.2,8.1,245,15.3,8.1,200,155,84,180,155,76,210,0.00441,-1.72175609485636,"Caldas"
36,0,1,0,0,0,0,1,2331,2,2,2,75,2.646952867,1.3789345,1.023490667,3.530178667,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00444,0.710979306552193,"Caldas"
37,0,1,0,0,0,0,1,2331,2,2,2,75,3.050345563,5.6671639,2.930285633,2.361684267,15.2,7.7,179,15.1,7.5,279,153,74,338,154,81,246,0.00467,0.665816891957884,"Caldas"
38,0,1,0,0,0,0,1,2331,2,2,2,75,3.352851,1.760601497,4.2564051,5.2685029,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00467,1.78239780725973,"Caldas"
39,1,1,0,0,0,0,1,2349,32,2,3,70,5.257953733,3.3270369,2.575953667,1.490694767,15,7.4,283,15,7.4,342,152,81,245,153,81,200,0.0047,0.499167203719848,"Caldas"
40,0,1,0,0,0,0,1,2331,2,2,2,75,3.400791433,1.587395297,5.578074733,3.818012967,15.4,8.1,129,15.2,7.7,179,151,75,279,153,74,338,0.00489,-0.264814143578104,"Caldas"
41,1,1,0,0,0,0,1,2349,32,2,3,70,5.534138133,3.317145467,1.5532944,1.529360067,15,7.4,283,15,7.4,342,152,81,245,153,81,200,0.005,-1.63000513400635,"Caldas"
42,0,1,0,0,0,0,1,2331,2,2,2,75,1.4504941,1.279280867,3.553902267,3.436973633,15.7,8.2,202,15.8,8.4,178,157,76,208,158,72,319,0.00511,0.565274169973419,"Caldas"
43,0,1,0,0,0,0,1,2331,2,2,2,75,5.257953733,3.3270369,2.575953667,1.490694767,15.1,7.5,279,15.3,7.4,338,154,81,246,157,82,202,0.00511,0.876408032340749,"Caldas"
44,0,1,0,0,0,0,1,2331,2,2,2,75,1.4239568,1.525121867,2.274113467,3.697183533,15.4,8.1,246,15.7,8.2,202,158,84,178,157,76,208,0.00511,1.67499235023347,"Caldas"
45,0,1,0,0,0,0,1,2044,12,2,2,72,4.457345197,1.402927133,1.4770781,2.8522697,16.8,7.7,240,17.4,8.2,185,171,85,120,169,84,117,0.00548,-0.958497827000138,"Caldas"
46,0,1,0,0,0,0,1,2331,2,2,2,75,1.153097667,3.406423733,1.835415797,5.083606533,15.8,8.2,151,15.4,8.1,129,152,77,179,151,75,279,0.00556,0.4492658653514,"Caldas"
47,1,1,0,0,0,0,1,2349,32,2,3,70,3.7957019,2.708897967,1.2617441,1.090431367,15,7.4,342,15.2,8.1,245,153,81,200,155,84,180,0.00558,0.222993901844279,"Caldas"
48,0,1,0,0,0,0,1,2331,2,2,2,75,1.4904492,1.006705167,3.559744267,4.7913762,15.7,8.2,202,15.8,8.4,178,157,76,208,158,72,319,0.00578,-0.17570764910585,"Caldas"
49,1,1,0,0,0,0,1,2349,32,2,3,70,3.903979867,2.917317467,1.2237038,1.247233167,15,7.4,342,15.2,8.1,245,153,81,200,155,84,180,0.00588,-1.67918631386204,"Caldas"
50,0,1,0,0,0,0,1,2331,2,2,2,75,2.684447167,2.14139663,2.974089567,5.802360733,15.8,8.2,151,15.4,8.1,129,152,77,179,151,75,279,0.00622,1.71189039213674,"Caldas"
51,0,1,0,0,0,0,1,2331,2,2,2,75,5.534138133,3.317145467,1.5532944,1.529360067,15.1,7.5,279,15.3,7.4,338,154,81,246,157,82,202,0.00622,-0.127677811762083,"Caldas"
52,0,1,0,0,0,0,1,2331,2,2,2,75,1.159302133,2.023279833,2.413778367,2.965743163,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.00644,-0.345700688898096,"Caldas"
53,1,1,0,0,0,0,1,2349,32,2,3,70,4.490317233,4.691298067,2.901512867,1.3218506,15,7.4,283,15,7.4,342,152,81,245,153,81,200,0.00647,0.438506951306407,"Caldas"
54,0,1,0,0,0,0,1,2331,2,2,2,75,2.8474857,2.230362067,1.522791967,1.438878,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.00667,0.146195144700513,"Caldas"
55,0,1,0,0,0,0,1,2331,2,2,2,75,1.490694767,1.018937,4.036146067,4.423865,15.7,8.2,202,15.8,8.4,178,157,76,208,158,72,319,0.00667,2.53851989054008,"Caldas"
56,0,1,0,0,0,0,1,2331,2,2,2,75,3.198423433,0.505885133,3.169303,1.818941397,15.9,7.9,219,15.8,8.2,151,154,81,129,152,77,179,0.00667,-0.882685073704974,"Caldas"
57,0,1,0,0,0,0,1,2331,2,2,2,75,3.7957019,2.708897967,1.2617441,1.090431367,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.00689,0.284696994539063,"Caldas"
58,0,1,0,0,0,0,1,2331,2,2,2,75,5.2650614,2.840483367,1.2854127,1.617256367,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.00711,-0.827665967756417,"Caldas"
59,0,1,0,0,0,0,1,2331,2,2,2,75,1.125383167,4.006805267,4.5879162,3.550940333,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.00711,0.36386854683435,"Caldas"
60,0,1,0,0,0,0,1,2331,2,2,2,75,1.292576267,3.525988867,4.457657933,3.145616267,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.00711,-0.643744149746151,"Caldas"
61,1,1,0,0,0,0,1,2399,50,2,2,75,1.0209854,2.4495012,0.933311,3.7724877,14.7,7.7,205,14.6,8,144,140,79,121,140,75,153,0.0075,-1.17480554154959,"Caldas"
62,0,1,0,0,0,0,1,2331,2,2,2,75,3.903979867,2.917317467,1.2237038,1.247233167,15.3,7.4,338,15.4,8.1,246,157,82,202,158,84,178,0.00756,0.0996413742391165,"Caldas"
63,0,1,0,0,0,0,1,2331,2,2,2,75,1.594145567,3.539792667,3.266171933,4.096487167,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.00756,-0.569138060342272,"Caldas"
64,0,1,0,0,0,0,1,2044,12,2,2,72,4.4940516,1.006065133,2.638219167,2.034713133,16.8,7.7,240,17.4,8.2,185,171,85,120,169,84,117,0.00762,-0.179314107463891,"Caldas"
65,1,1,0,0,0,0,1,2349,32,2,3,70,1.153097667,3.406423733,1.835415797,5.083606533,15.5,8.1,155,15.1,8.1,130,151,76,181,150,74,283,0.00764,-0.352735809363814,"Caldas"
66,1,1,0,0,0,0,1,2349,32,2,3,70,0.534587333,3.4449317,1.725711397,4.740146933,15.5,8.1,155,15.1,8.1,130,151,76,181,150,74,283,0.00781,-0.164524507028191,"Caldas"
67,0,1,0,0,0,0,1,2044,12,2,2,72,3.198423433,0.505885133,3.169303,1.818941397,17.4,8.2,185,17.1,8.5,120,169,84,117,166,79,148,0.00786,-0.921303411146502,"Caldas"
68,1,1,0,0,0,0,1,2349,32,2,3,70,2.813581467,1.3125403,1.636085967,2.9168064,15.2,8.1,245,15.3,8.1,200,155,84,180,155,76,210,0.00794,-1.22673668689841,"Caldas"
69,1,1,0,0,0,0,1,2349,32,2,3,70,2.473164767,1.554052767,1.1462866,3.789316867,15.2,8.1,245,15.3,8.1,200,155,84,180,155,76,210,0.00794,1.21554892451932,"Caldas"
70,1,1,0,0,0,0,1,2267,7,2,3,70,4.301429837,0.8322731,2.797930767,1.318521933,14.5,7.4,285,15.2,7.9,222,151,82,159,147,81,129,0.00806,0.665982174963042,"Caldas"
71,1,1,0,0,0,0,1,2399,50,2,2,75,2.76698307,0.6068297,2.6792023,1.2929211,14.7,7.7,205,14.6,8,144,140,79,121,140,75,153,0.00833,-0.498337713996062,"Caldas"
72,1,1,0,0,0,0,1,2349,32,2,3,70,5.2310603,4.181314163,4.055107833,0.543171333,15.5,7.6,210,15.5,7.2,321,151,74,286,157,79,222,0.00882,0.512114513326866,"Caldas"
73,1,1,0,0,0,0,1,2349,32,2,3,70,2.646952867,1.3789345,1.023490667,3.530178667,15.2,8.1,245,15.3,8.1,200,155,84,180,155,76,210,0.00882,0.840886183773535,"Caldas"
74,1,1,0,0,0,0,1,2349,32,2,3,70,2.915040567,1.2986223,1.268334367,3.456328267,15.2,8.1,245,15.3,8.1,200,155,84,180,155,76,210,0.00911,0.0967968269060185,"Caldas"
75,0,1,0,0,0,0,1,2331,2,2,2,75,1.529360067,1.6490497,4.1522457,4.678530467,15.7,8.2,202,15.8,8.4,178,157,76,208,158,72,319,0.00956,1.6037596122368,"Caldas"
76,0,1,0,0,0,0,1,2331,2,2,2,75,1.4509891,4.008026667,4.7970986,2.961126137,15.8,8.4,178,15.7,7.6,208,158,72,319,153,74,280,0.00956,-0.0954229811622318,"Caldas"
77,1,1,0,0,0,0,1,2349,32,2,3,70,1.159302133,2.023279833,2.413778367,2.965743163,15.7,7.9,222,15.5,8.1,155,151,81,130,151,76,181,0.0097,0.376704818113672,"Caldas"
78,1,1,0,0,0,0,1,2267,7,2,3,70,4.348167637,1.0769726,2.238519067,1.506844533,14.5,7.4,285,15.2,7.9,222,151,82,159,147,81,129,0.00972,0.512464221428415,"Caldas"
79,0,1,0,0,0,0,1,2331,2,2,2,75,2.023279833,2.313193067,2.344093397,5.4789364,15.8,8.2,151,15.4,8.1,129,152,77,179,151,75,279,0.00978,-0.196923197045557,"Caldas"
80,1,1,0,0,0,0,1,2399,50,2,2,75,5.0158663,2.190063803,0.6068297,2.7578684,13.6,7.1,262,14.7,7.7,205,146,80,144,140,79,121,0.01,2.19314237436487,"Caldas"
